URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8.0,0,0.9999998750000157,0.022222222160493826,15.105263157894736,0.5226480836236934,6.251164496607372,15.105263157894736,150.0,287.0,2.851449275362319,2.0,7.400696864111498
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,15.0,7,0.36363634710743875,0.030386740289521076,12.959183673469388,0.4346456692913386,5.357531737104291,12.959183673469388,276.0,627.0,2.531400966183575,8.0,6.838915470494418
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13.0,2,0.7333332844444478,0.038167938834178274,15.19047619047619,0.5109717868338558,6.280579190924019,15.19047619047619,163.0,319.0,2.792880258899676,2.0,7.266457680250784
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26.0,11,0.4054053944485029,0.05640243893841092,14.128205128205128,0.6134301270417423,5.896654102098748,14.128205128205128,338.0,551.0,2.9411764705882355,4.0,7.784029038112522
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,5.0,0,0.99999980000004,0.014326647523419347,14.1,0.49645390070921985,5.838581560283688,14.1,140.0,282.0,2.9166666666666665,2.0,7.50354609929078
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8.0,0,0.9999998750000157,0.022222222160493826,15.105263157894736,0.5226480836236934,6.251164496607372,15.105263157894736,150.0,287.0,2.851449275362319,2.0,7.400696864111498
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,15.0,7,0.36363634710743875,0.030386740289521076,12.959183673469388,0.4346456692913386,5.357531737104291,12.959183673469388,276.0,627.0,2.531400966183575,8.0,6.838915470494418
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13.0,2,0.7333332844444478,0.038167938834178274,15.19047619047619,0.5109717868338558,6.280579190924019,15.19047619047619,163.0,319.0,2.792880258899676,2.0,7.266457680250784
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26.0,11,0.4054053944485029,0.05640243893841092,14.128205128205128,0.6134301270417423,5.896654102098748,14.128205128205128,338.0,551.0,2.9411764705882355,4.0,7.784029038112522
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,59.0,21,0.4749999940625001,0.04907975457111671,11.279661016949152,0.5972952667167544,4.750782513466363,11.279661016949152,795.0,1330.0,2.98749022673964,2.0,7.624812030075188
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,21.0,6,0.5555555349794246,0.04728546401526188,12.75,0.599128540305011,5.339651416122005,12.75,275.0,459.0,3.02262443438914,2.0,7.83442265795207
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,30.0,2,0.874999972656251,0.0450704224717318,14.375,0.6365217391304347,6.004608695652174,14.375,366.0,575.0,3.0530973451327434,3.0,8.095652173913043
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,24.0,5,0.655172391200952,0.055028462893684134,11.885714285714286,0.5841346153846154,4.98793956043956,11.885714285714286,243.0,416.0,3.0469135802469136,4.0,8.30048076923077
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,16.0,5,0.5238094988662143,0.040540540462276946,13.666666666666666,0.5926829268292683,5.703739837398373,13.666666666666666,243.0,410.0,3.0401002506265664,3.0,8.092682926829267
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,65.0,25,0.4444444395061729,0.07177033487099653,13.05,0.5450191570881227,5.43800766283525,13.05,569.0,1044.0,2.862475442043222,4.0,7.692528735632184
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,10.0,1,0.8181817438016598,0.023809523757988043,12.433333333333334,0.5040214477211796,5.174941912421805,12.433333333333334,188.0,373.0,2.82122905027933,2.0,7.327077747989276
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,43.0,6,0.7551020254060812,0.05946601934530823,13.92,0.5962643678160919,5.806505747126437,13.92,415.0,696.0,2.9502923976608186,8.0,7.800287356321839
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,8.0,3,0.4545454132231443,0.03047091404301686,10.74074074074074,0.5344827586206896,4.510089399744572,10.74074074074074,155.0,290.0,3.017857142857143,3.0,7.972413793103448
